"ID","LINK","DESCRIPTION","TYPE","COLOR","PATTERN","OUTFIT"
"a00","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a00.jpg","Golden patinated jacket","jacket","gold","patinated",1
"a01","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a01.jpg","Silver patinated jacket","jacket","silver","patinated",1
"a02","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a02.jpg","Purple striped patinated short dress","short dress","purple","striped-patinated",1
"a03","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a03.jpg","Fuchsia patinated dress","dress","fuchsia","dress","patinated",1
"a04","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a04.jpg","Fuchsia shirt","shirt","fuchsia","plain",2
"a05","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a05.jpg","Silver patinated jacket","jacket","silver","patinated",2
"a06","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a06.jpg","Pink shirt","shirt","pink","plain",2
"a07","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a07.jpg","Green and brown short dress","short dress","green-brown","plain",3
"a08","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a08.jpg","Golden and green patinated short dress","short dress","gold-green","patinated",4
"a09","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a09.jpg","White undershirt","shirt","white","plain",5
"a10","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a10.jpg","Brown-blue checkered dress","dress","brown-blue","checkered",5
"a11","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a11.jpg","Fuchsia undershirt","shirt","fuchsia","plain",5
"a12","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a12.jpg","Cream blouse","shirt","cream","plain",6
"a13","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a13.jpg","Brown overcoat","coat","brown","plain",6
"a14","https://raw.githubusercontent.com/f4shionrecommendation/fashion_reccom/master/img/upper/a14.jpg","White blouse","shirt","white","plain",7